# Date:     2017-08-24 22:22:00
# Database: bvi
# Target:   lmc2
# Query:    Decl>-70 and Decl<-69.999 
# Objects:  3798
# Columns:
# Field	StarID	RA	Decl	V	V_I	I	Vsig	Isig	B_V	B	Bsig
LMC_SC1	52086	5.541864	-69.99997	17.554	1.089	16.464	0.034	0.015	0.968	18.529	0.031
LMC_SC1	57821	5.544322	-69.99997	20.944	0.731	20.213	0.155	0.240	-0.293	20.653	0.155
LMC_SC1	143877	5.559978	-69.99997	17.490	1.414	16.075	0.022	0.016	1.352	18.851	0.062
LMC_SC1	145539	5.555428	-69.99997	19.147	0.942	18.204	0.033	0.039	1.045	20.198	0.092
LMC_SC1	147043	5.552594	-69.99997	20.148	0.823	19.326	0.080	0.104	1.047	21.202	0.291
LMC_SC1	147055	5.559519	-69.99997	99.999	99.999	20.691	99.999	0.511	99.999	99.999	99.999
LMC_SC1	147057	5.563372	-69.99997	19.644	0.382	19.262	0.065	0.119	0.222	19.868	0.086
LMC_SC1	149529	5.560992	-69.99997	20.740	0.732	20.008	0.195	0.257	0.196	20.939	0.271
LMC_SC1	149535	5.561211	-69.99997	21.169	0.599	20.569	0.307	0.367	99.999	99.999	99.999
LMC_SC1	234574	5.568553	-69.99997	20.598	0.252	20.346	0.143	0.238	0.417	21.017	0.183
LMC_SC1	312830	5.584533	-69.99997	17.261	1.476	15.784	0.016	0.015	1.458	18.728	0.029
LMC_SC1	317477	5.586014	-69.99997	99.999	99.999	20.192	99.999	0.233	99.999	99.999	99.999
LMC_SC1	317478	5.577458	-69.99997	20.920	0.315	20.605	0.199	0.274	0.553	21.476	0.305
LMC_SC1	317480	5.579783	-69.99997	21.343	1.212	20.130	0.369	0.303	99.999	99.999	99.999
LMC_SC1	318491	5.580664	-69.99997	99.999	99.999	20.505	99.999	0.650	99.999	99.999	99.999
LMC_SC2	41149	5.502156	-69.99997	19.201	0.818	18.382	0.045	0.069	0.864	20.071	0.180
LMC_SC2	41155	5.508064	-69.99997	19.962	0.949	19.012	0.081	0.082	0.985	20.954	0.183
LMC_SC2	45698	5.502061	-69.99997	20.608	0.487	20.121	0.172	0.265	99.999	99.999	99.999
