# Date:     2017-08-24 22:21:21
# Database: phot
# Target:   lmc2
# Query:    Decl>-70 and Decl<-69.999 
# Objects:  3857
# Columns:
# Field	StarID	StarCat	RA	Decl	Pgood	I	Isig	Imed	Imederr
LMC_SC1	149535	053340.36-695959.9	5.561211	-69.99999	82	20.901	0.705	20.766	0.371
LMC_SC1	318490	053431.88-695960.0	5.575523	-69.99999	95	21.056	0.576	20.944	0.429
LMC_SC12	4862	050522.56-695960.0	5.089599	-69.99999	96	20.519	0.353	20.503	0.286
LMC_SC12	60814	050538.95-695959.9	5.094153	-69.99999	96	19.781	0.174	19.771	0.150
LMC_SC17	55880	053732.77-695960.0	5.625770	-69.99999	96	18.777	0.074	18.786	0.064
LMC_SC17	118755	053811.82-695960.0	5.636616	-69.99999	78	18.391	0.204	18.413	0.062
LMC_SC17	230254	053938.83-695960.0	5.660787	-69.99999	95	20.604	0.423	20.530	0.285
LMC_SC18	108952	054039.01-695960.0	5.677502	-69.99999	93	19.940	0.194	19.920	0.176
LMC_SC18	160801	054142.85-695960.0	5.695237	-69.99999	85	19.474	0.134	19.470	0.117
LMC_SC18	161559	054157.58-695960.0	5.699327	-69.99999	94	19.820	0.204	19.798	0.152
LMC_SC2	45698	053007.42-695960.0	5.502062	-69.99999	95	20.173	0.363	20.148	0.206
LMC_SC2	259429	053134.10-695960.0	5.526138	-69.99999	96	19.663	0.143	19.661	0.126
LMC_SC2	261897	053144.80-695960.0	5.529110	-69.99999	81	20.402	0.433	20.347	0.227
LMC_SC3	148041	052815.53-695960.0	5.470980	-69.99999	99	18.963	0.100	18.962	0.069
LMC_SC3	370084	053007.76-695960.0	5.502155	-69.99999	73	18.342	0.088	18.358	0.045
LMC_SC3	370085	052931.21-695960.0	5.492004	-69.99999	98	18.254	0.060	18.254	0.039
LMC_SC4	155472	052541.45-695960.0	5.428180	-69.99999	98	19.707	0.146	19.706	0.127
LMC_SC4	274702	052623.29-695960.0	5.439802	-69.99999	97	19.231	0.234	19.275	0.110
LMC_SC4	397642	052736.36-695960.0	5.460100	-69.99999	83	20.220	0.406	20.164	0.209
LMC_SC5	15792	052247.78-695959.9	5.379939	-69.99999	98	19.033	0.086	19.036	0.072
LMC_SC5	18013	052230.84-695960.0	5.375232	-69.99999	96	19.963	0.180	19.948	0.158
LMC_SC5	18020	052241.12-695960.0	5.378090	-69.99999	98	20.019	0.229	20.012	0.165
LMC_SC5	136317	052311.81-695960.0	5.386614	-69.99999	96	20.796	0.496	20.710	0.334
LMC_SC5	136323	052322.68-695960.0	5.389633	-69.99999	97	20.586	0.447	20.571	0.289
LMC_SC5	249730	052410.99-695960.0	5.403052	-69.99999	50	20.333	0.627	20.182	0.260
LMC_SC6	7136	052020.40-695960.0	5.338999	-69.99999	99	18.215	0.041	18.214	0.036
LMC_SC6	134069	052041.52-695960.0	5.344867	-69.99999	97	20.811	0.483	20.740	0.339
LMC_SC6	134071	052043.84-695960.0	5.345511	-69.99999	97	21.068	0.603	20.937	0.406
LMC_SC6	366096	052225.85-695960.0	5.373848	-69.99999	94	20.225	0.441	20.141	0.195
LMC_SC1	52086	053230.71-695959.9	5.541864	-69.99998	88	16.433	0.017	16.433	0.012
LMC_SC1	147055	053334.27-695959.9	5.559519	-69.99998	59	21.234	0.948	21.030	0.561
LMC_SC1	147057	053348.14-695959.9	5.563373	-69.99998	97	19.239	0.130	19.247	0.102
LMC_SC1	317477	053509.65-695959.9	5.586013	-69.99998	74	20.237	0.268	20.210	0.221
LMC_SC1	317478	053438.85-695959.9	5.577457	-69.99998	96	20.763	0.515	20.655	0.343
LMC_SC12	164458	050715.68-695959.9	5.121024	-69.99998	22	20.337	1.157	20.158	0.282
LMC_SC12	165715	050722.11-695959.9	5.122807	-69.99998	94	20.638	0.615	20.589	0.310
LMC_SC16	51775	053511.97-695959.9	5.586659	-69.99998	98	19.652	0.146	19.635	0.124
LMC_SC16	51782	053518.50-695959.9	5.588474	-69.99998	96	19.859	0.217	19.868	0.161
LMC_SC17	178343	053850.55-695959.9	5.647374	-69.99998	96	20.389	0.310	20.347	0.256
LMC_SC18	54359	054012.85-695959.9	5.670237	-69.99998	95	19.189	0.088	19.187	0.085
LMC_SC18	160802	054155.27-695959.9	5.698687	-69.99998	90	19.114	0.167	19.130	0.094
LMC_SC18	209169	054210.04-695959.9	5.702790	-69.99998	96	18.176	0.042	18.175	0.037
LMC_SC18	210435	054215.83-695959.9	5.704397	-69.99998	95	20.237	0.248	20.230	0.224
LMC_SC18	210436	054222.31-695959.9	5.706197	-69.99998	93	20.430	0.374	20.362	0.253
LMC_SC2	41149	053007.76-695959.9	5.502156	-69.99998	98	18.347	0.086	18.363	0.044
LMC_SC2	47136	053001.44-695959.9	5.500399	-69.99998	94	20.843	0.519	20.806	0.350
LMC_SC2	154536	053043.10-695959.9	5.511972	-69.99998	96	19.288	0.192	19.314	0.100
LMC_SC2	157096	053042.59-695959.9	5.511830	-69.99998	96	20.659	0.489	20.599	0.333
LMC_SC2	261906	053134.99-695959.9	5.526387	-69.99998	96	19.815	0.217	19.827	0.147
LMC_SC3	33265	052730.56-695959.9	5.458488	-69.99998	96	20.690	0.396	20.648	0.284
LMC_SC3	33266	052745.99-695959.9	5.462776	-69.99998	80	20.310	0.693	20.234	0.251
LMC_SC3	369082	052939.96-695959.9	5.494433	-69.99998	99	17.980	0.052	17.981	0.032
LMC_SC4	153989	052612.89-695959.9	5.436915	-69.99998	98	18.906	0.074	18.903	0.068
LMC_SC4	157881	052542.71-695959.9	5.428530	-69.99998	98	20.482	0.363	20.429	0.252
LMC_SC4	393319	052731.39-695959.9	5.458719	-69.99998	95	18.435	0.057	18.439	0.044
LMC_SC4	395080	052712.22-695959.9	5.453396	-69.99998	99	19.280	0.116	19.280	0.090
LMC_SC4	395081	052730.81-695959.9	5.458558	-69.99998	93	20.366	0.443	20.276	0.227
LMC_SC4	395086	052708.92-695959.9	5.452477	-69.99998	67	19.635	0.621	19.558	0.149
LMC_SC4	397649	052700.55-695959.9	5.450152	-69.99998	98	20.231	0.242	20.225	0.221
LMC_SC5	13579	052245.99-695959.9	5.379441	-69.99998	99	17.308	0.019	17.306	0.019
LMC_SC5	14474	052300.96-695959.9	5.383599	-69.99998	97	18.883	0.099	18.881	0.068
LMC_SC5	249736	052402.49-695959.9	5.400693	-69.99998	97	19.749	0.198	19.732	0.147
LMC_SC6	7139	052030.68-695959.9	5.341855	-69.99998	88	17.780	0.154	17.838	0.033
LMC_SC6	134072	052051.33-695959.9	5.347593	-69.99998	96	20.883	0.459	20.802	0.350
LMC_SC6	135450	052059.72-695959.9	5.349922	-69.99998	98	20.552	0.341	20.494	0.267
LMC_SC6	250617	052122.25-695959.9	5.356179	-69.99998	88	18.822	0.398	18.906	0.095
LMC_SC6	363865	052202.25-695959.9	5.367293	-69.99998	99	17.370	0.025	17.371	0.020
LMC_SC6	366100	052230.84-695959.9	5.375232	-69.99998	96	19.915	0.164	19.904	0.155
LMC_SC1	57821	053239.56-695959.9	5.544322	-69.99997	96	20.220	0.287	20.199	0.230
LMC_SC1	145539	053319.54-695959.9	5.555427	-69.99997	97	18.179	0.040	18.176	0.039
LMC_SC1	147043	053309.34-695959.9	5.552594	-69.99997	98	19.333	0.131	19.305	0.099
LMC_SC1	149529	053339.57-695959.9	5.560992	-69.99997	96	19.979	0.292	19.990	0.181
LMC_SC1	234574	053406.79-695959.9	5.568553	-69.99997	95	20.500	0.479	20.372	0.264
LMC_SC1	312830	053504.32-695959.9	5.584533	-69.99997	95	15.745	0.030	15.742	0.009
LMC_SC1	317480	053447.22-695959.9	5.579783	-69.99997	93	20.157	0.404	20.141	0.225
LMC_SC1	318491	053450.39-695959.9	5.580663	-69.99997	43	21.208	1.020	21.090	0.638
LMC_SC12	58652	050545.56-695959.9	5.095989	-69.99997	99	16.770	0.019	16.770	0.014
LMC_SC12	59666	050548.13-695959.9	5.096704	-69.99997	97	19.245	0.106	19.232	0.092
